                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1932,                0.00073,                0.10793,                0.00047,                0.00014,                   4.26,              0.0033198,              0.0033198,              0.0033198
                      2,                 4.1841,                0.00036,                0.05635,                0.00022,                  8e-05,                 4.2311,              0.0066312,              0.0066312,              0.0066312
                      3,                 4.0678,                  8e-05,                0.02558,                  4e-05,                  2e-05,                 4.0915,              0.0099205,              0.0099205,              0.0099205
                      4,                 4.0004,                  8e-05,                0.02609,                  5e-05,                  1e-05,                 4.1186,               0.009901,               0.009901,               0.009901
                      5,                 3.9861,                  8e-05,                0.02609,                  5e-05,                  1e-05,                 4.1089,               0.009901,               0.009901,               0.009901
                      6,                 3.9536,                  5e-05,                0.01841,                  3e-05,                  1e-05,                 4.1485,               0.009868,               0.009868,               0.009868
                      7,                 3.9424,                  8e-05,                0.02609,                  4e-05,                  1e-05,                 4.1193,               0.009835,               0.009835,               0.009835
                      8,                 3.9037,                0.00016,                0.06813,                0.00011,                  4e-05,                 4.0934,               0.009802,               0.009802,               0.009802
                      9,                 3.9017,                0.00022,                0.09549,                0.00015,                  6e-05,                 4.1126,               0.009769,               0.009769,               0.009769
                     10,                 3.8867,                0.00024,                0.11734,                0.00056,                0.00033,                 4.0751,               0.009736,               0.009736,               0.009736
                     11,                 3.8797,                  9e-05,                0.03018,                  5e-05,                  1e-05,                 4.0879,               0.009703,               0.009703,               0.009703
                     12,                 3.8519,                0.00022,                0.11724,                0.00016,                  5e-05,                 4.1169,                0.00967,                0.00967,                0.00967
                     13,                 3.8458,                0.00024,                0.07919,                0.00015,                  5e-05,                 4.0839,               0.009637,               0.009637,               0.009637
                     14,                 3.8247,                0.00035,                0.09336,                0.00023,                  7e-05,                 4.1084,               0.009604,               0.009604,               0.009604
                     15,                 3.8808,                 0.0003,                0.11004,                0.00021,                  7e-05,                 4.0682,               0.009571,               0.009571,               0.009571
                     16,                 3.8538,                  9e-05,                0.01483,                  5e-05,                  1e-05,                 4.0934,               0.009538,               0.009538,               0.009538
