                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5458,                 1.7981,                 1.7226,                0.62436,                0.61882,                0.63827,                0.36859,                 1.4992,                 1.5538,                 1.7022,               0.008911,               0.008911,               0.008911
                     36,                  1.537,                 1.7821,                 1.7279,                0.68738,                0.59175,                 0.6312,                0.37967,                 1.5061,                 1.5685,                 1.6722,               0.008878,               0.008878,               0.008878
                     37,                  1.514,                 1.7501,                 1.7005,                0.64097,                0.52464,                0.57579,                 0.3346,                 1.5388,                 1.7148,                 1.7332,               0.008845,               0.008845,               0.008845
                     38,                 1.5179,                 1.7593,                 1.6997,                0.64755,                0.56211,                0.61946,                0.35934,                 1.4938,                 1.5978,                 1.6847,               0.008812,               0.008812,               0.008812
                     39,                  1.509,                 1.7405,                 1.7039,                0.70504,                 0.5606,                0.64575,                0.39175,                  1.476,                 1.4818,                 1.6645,               0.008779,               0.008779,               0.008779
                     40,                 1.5057,                 1.7295,                 1.6947,                0.71701,                0.61424,                0.65752,                 0.3919,                 1.4796,                  1.499,                 1.6604,               0.008746,               0.008746,               0.008746
                     41,                 1.4924,                 1.7057,                  1.686,                0.74208,                0.58413,                0.65913,                 0.3874,                 1.4788,                 1.5224,                 1.6715,               0.008713,               0.008713,               0.008713
                     42,                 1.4983,                 1.6967,                 1.6802,                0.63417,                0.61508,                0.61758,                0.34505,                 1.5286,                 1.6101,                 1.6814,                0.00868,                0.00868,                0.00868
                     43,                 1.4883,                 1.6863,                 1.6751,                0.65577,                 0.5514,                0.60998,                0.36047,                 1.4802,                 1.6417,                 1.6874,               0.008647,               0.008647,               0.008647
                     44,                 1.4752,                  1.689,                 1.6695,                0.73496,                0.58832,                0.68453,                0.41148,                  1.455,                 1.4514,                  1.655,               0.008614,               0.008614,               0.008614
                     45,                   1.48,                 1.6659,                 1.6719,                0.73673,                0.57002,                0.65053,                0.38349,                 1.5096,                 1.5423,                 1.6686,               0.008581,               0.008581,               0.008581
                     46,                 1.4822,                 1.6587,                 1.6661,                 0.7521,                0.58617,                0.68545,                0.40878,                  1.432,                 1.4233,                 1.6138,               0.008548,               0.008548,               0.008548
                     47,                 1.4741,                 1.6616,                 1.6545,                0.67842,                 0.6276,                0.68017,                0.39979,                 1.4521,                 1.4686,                  1.632,               0.008515,               0.008515,               0.008515
                     48,                 1.4516,                 1.6172,                 1.6429,                0.72092,                0.63679,                0.70426,                0.42591,                 1.4333,                 1.4088,                 1.6139,               0.008482,               0.008482,               0.008482
                     49,                 1.4636,                 1.6382,                 1.6486,                0.68277,                0.62946,                0.68562,                0.41768,                 1.4567,                 1.4464,                 1.6421,               0.008449,               0.008449,               0.008449
                     50,                 1.4542,                 1.6114,                 1.6386,                0.72816,                0.64885,                0.69599,                0.43748,                 1.4039,                  1.396,                 1.5922,               0.008416,               0.008416,               0.008416
                     51,                 1.4485,                 1.6321,                 1.6335,                0.75751,                 0.6159,                0.69441,                0.42214,                 1.4129,                 1.3933,                 1.5926,               0.008383,               0.008383,               0.008383
                     52,                 1.4296,                 1.5825,                 1.6239,                0.70147,                0.62395,                0.68564,                0.41764,                 1.4124,                 1.4064,                 1.6128,                0.00835,                0.00835,                0.00835
                     53,                  1.447,                 1.6228,                 1.6287,                0.64332,                0.63128,                0.67667,                0.41679,                   1.38,                 1.3869,                 1.5635,               0.008317,               0.008317,               0.008317
                     54,                 1.4319,                 1.5961,                 1.6182,                 0.7426,                0.64061,                0.70596,                0.43075,                 1.3709,                 1.3986,                  1.579,               0.008284,               0.008284,               0.008284
                     55,                 1.4229,                 1.5606,                 1.6102,                0.75598,                0.62957,                0.70778,                0.43909,                 1.3579,                 1.3338,                 1.5634,               0.008251,               0.008251,               0.008251
                     56,                 1.4155,                 1.5643,                 1.6117,                0.75346,                 0.6052,                0.69633,                0.43755,                 1.3835,                 1.3373,                 1.5778,               0.008218,               0.008218,               0.008218
                     57,                 1.4283,                 1.5774,                 1.6138,                0.80998,                0.61864,                0.72215,                0.44906,                 1.3494,                 1.3222,                 1.5397,               0.008185,               0.008185,               0.008185
                     58,                 1.4286,                 1.5648,                 1.6143,                0.74209,                0.63033,                0.68667,                0.41905,                 1.3862,                  1.407,                 1.5751,               0.008152,               0.008152,               0.008152
                     59,                 1.4275,                 1.5761,                 1.6147,                0.67444,                0.67012,                0.69881,                0.42564,                 1.4091,                 1.3807,                 1.5724,               0.008119,               0.008119,               0.008119
                     60,                 1.4185,                 1.5293,                 1.5957,                0.68508,                 0.6503,                0.70364,                0.42542,                 1.3687,                   1.39,                 1.5598,               0.008086,               0.008086,               0.008086
                     61,                 1.4135,                 1.5494,                 1.6036,                0.74844,                0.67134,                0.73987,                0.46535,                 1.3413,                 1.2867,                 1.5236,               0.008053,               0.008053,               0.008053
                     62,                 1.4075,                 1.5206,                 1.5847,                 0.7553,                0.65235,                0.73312,                0.46437,                  1.331,                 1.2752,                 1.5284,                0.00802,                0.00802,                0.00802
                     63,                 1.4024,                 1.5111,                 1.5887,                0.76953,                0.62933,                0.72383,                0.44548,                 1.3354,                 1.2847,                 1.5359,               0.007987,               0.007987,               0.007987
