                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1838,                0.00087,                0.13951,                0.00055,                 0.0002,                 4.2616,             0.00036883,             0.00036883,             0.00036883
                      2,                 4.1599,                  9e-05,                0.02762,                  5e-05,                  1e-05,                 4.3018,             0.00072453,             0.00072453,             0.00072453
                      3,                 4.1995,                0.00018,                0.11898,                0.00013,                  4e-05,                 4.2976,              0.0010656,              0.0010656,              0.0010656
                      4,                 4.4241,                  8e-05,                0.06972,                  6e-05,                  3e-05,                 4.0969,               0.001045,               0.001045,               0.001045
                      5,                 4.4994,                  9e-05,                0.07156,                  7e-05,                  3e-05,                 4.0969,               0.001045,               0.001045,               0.001045
                      6,                 4.5186,                  8e-05,                0.06789,                  6e-05,                  3e-05,                 4.0964,               0.001023,               0.001023,               0.001023
                      7,                 4.5268,                  9e-05,                0.06972,                  7e-05,                  3e-05,                 4.0964,               0.001001,               0.001001,               0.001001
                      8,                 4.4724,                  9e-05,                0.07156,                  7e-05,                  3e-05,                 4.1287,             0.00097901,             0.00097901,             0.00097901
