                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0915,                0.00026,                0.07229,                0.00018,                  6e-05,                 3.9735,               0.066869,             6.6396e-05,             6.6396e-05
                      2,                 4.0402,                0.00025,                0.06934,                0.00017,                  6e-05,                 3.9602,               0.033589,             0.00011976,             0.00011976
                      3,                 4.0574,                0.00022,                0.03632,                0.00016,                  5e-05,                 3.9579,             0.00029529,             0.00015979,             0.00015979
                      4,                 4.0684,                0.00022,                0.03581,                0.00014,                  4e-05,                 3.9516,             0.00014001,             0.00014001,             0.00014001
                      5,                  4.038,                0.00022,                0.03632,                0.00015,                  4e-05,                  3.953,             0.00014001,             0.00014001,             0.00014001
                      6,                 4.0432,                 0.0002,                0.03529,                0.00014,                  4e-05,                 3.9546,             0.00012002,             0.00012002,             0.00012002
                      7,                 4.0572,                0.00021,                0.03632,                0.00014,                  4e-05,                 3.9581,             0.00010002,             0.00010002,             0.00010002
                      8,                 4.0682,                0.00019,                0.03529,                0.00013,                  4e-05,                 3.9541,             8.0024e-05,             8.0024e-05,             8.0024e-05
                      9,                 4.0518,                 0.0002,                0.03529,                0.00014,                  4e-05,                 3.9562,             6.0028e-05,             6.0028e-05,             6.0028e-05
                     10,                 4.0578,                0.00015,                0.03529,                 0.0001,                  3e-05,                 3.9566,             4.0032e-05,             4.0032e-05,             4.0032e-05
