                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0196,                 4.7326,                 4.0223,                0.00112,                0.13524,                0.00105,                0.00034,                 3.9948,                 4.0222,                 3.7974,             0.00036883,             0.00036883,             0.00036883
                      2,                 3.3753,                 4.1689,                 3.3936,                0.42647,                0.04064,                0.00913,                0.00209,                  3.205,                  3.739,                 3.1462,             0.00059281,             0.00059281,             0.00059281
                      3,                 2.9343,                 3.8185,                 3.0041,                0.62689,                0.05664,                0.02131,                0.00527,                 2.8798,                 3.5122,                 2.8684,             0.00067013,             0.00067013,             0.00067013
                      4,                  2.622,                 3.4982,                 2.7358,                0.28079,                0.13251,                0.05382,                0.01748,                  2.634,                 3.1905,                 2.6576,             0.00045107,             0.00045107,             0.00045107
                      5,                 2.4731,                 3.2651,                 2.5832,                0.29691,                0.17364,                0.10079,                0.03398,                 2.4769,                 2.9714,                 2.5305,             0.00045107,             0.00045107,             0.00045107
