                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4116,                0.72538,                0.65432,                0.69517,                0.39356,                 1.2755,             0.00036883,             0.00036883,             0.00036883
                      2,                 1.2099,                0.63888,                0.72325,                0.72773,                0.39056,                 1.3554,             0.00059281,             0.00059281,             0.00059281
                      3,                 1.2056,                0.74962,                0.65603,                0.73726,                0.39614,                 1.3276,             0.00067013,             0.00067013,             0.00067013
                      4,                 1.1855,                0.74009,                0.70205,                0.75736,                0.42963,                 1.2783,             0.00045107,             0.00045107,             0.00045107
                      5,                 1.1609,                0.71224,                0.71946,                0.75019,                0.43135,                  1.253,             0.00045107,             0.00045107,             0.00045107
