                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1814,                 4.9668,                 4.1832,                0.00079,                0.17338,                0.00082,                0.00027,                 4.1596,                 4.5435,                 4.1611,              0.0033181,              0.0033181,              0.0033181
                      2,                 3.8679,                 4.5667,                 3.9054,                0.00136,                0.18455,                 0.0013,                0.00033,                 3.7296,                 4.0844,                 3.8236,              0.0066295,              0.0066295,              0.0066295
                      3,                 3.2321,                 4.1044,                 3.3351,                0.80964,                0.01395,                0.00616,                0.00159,                 3.1468,                 3.8666,                 3.1542,              0.0099189,              0.0099189,              0.0099189
                      4,                 2.9444,                   3.77,                 2.9809,                0.63594,                0.03685,                0.01331,                0.00374,                 2.9691,                 3.7654,                 2.9264,               0.009901,               0.009901,               0.009901
                      5,                 2.6412,                 3.4811,                  2.739,                0.24587,                0.04678,                0.01487,                  0.005,                 2.8889,                 4.6386,                 2.8937,               0.009901,               0.009901,               0.009901
                      6,                 2.3889,                 3.1586,                 2.5375,                0.31091,                0.13293,                0.06455,                0.02278,                 2.5011,                 3.2777,                 2.5719,               0.009868,               0.009868,               0.009868
                      7,                 2.2405,                 2.9696,                 2.4055,                0.35356,                0.13581,                0.10265,                0.03669,                 2.3538,                 2.9256,                 2.4532,               0.009835,               0.009835,               0.009835
                      8,                 2.1223,                 2.8006,                  2.308,                0.42666,                0.21998,                0.15109,                0.06365,                 2.1869,                 2.7032,                 2.3014,               0.009802,               0.009802,               0.009802
                      9,                 2.0289,                 2.6652,                 2.2189,                0.26484,                0.22716,                0.16356,                0.06082,                 2.1687,                  2.705,                 2.2979,               0.009769,               0.009769,               0.009769
                     10,                  1.965,                 2.5994,                 2.1694,                0.31367,                0.28118,                0.22279,                 0.0908,                 2.0483,                 2.5445,                 2.2058,               0.009736,               0.009736,               0.009736
                     11,                  1.924,                 2.5187,                 2.1178,                0.34488,                0.31662,                0.28161,                0.12486,                  1.971,                 2.3903,                 2.1188,               0.009703,               0.009703,               0.009703
                     12,                 1.8886,                 2.4436,                 2.0806,                0.43633,                0.34373,                0.32026,                0.14747,                 1.9576,                 2.2651,                 2.1018,                0.00967,                0.00967,                0.00967
                     13,                 1.8575,                 2.3982,                 2.0509,                0.40908,                0.33317,                0.30643,                0.14107,                  1.965,                 2.2894,                 2.1085,               0.009637,               0.009637,               0.009637
                     14,                 1.8365,                 2.3684,                 2.0222,                0.37826,                 0.3546,                0.28176,                0.13042,                 1.9691,                 2.4894,                 2.1306,               0.009604,               0.009604,               0.009604
                     15,                 1.7929,                 2.2795,                 1.9807,                0.35618,                0.41284,                0.33665,                0.15991,                 1.8682,                 2.2473,                  2.048,               0.009571,               0.009571,               0.009571
                     16,                 1.7787,                 2.2439,                 1.9738,                0.42453,                0.35844,                0.31614,                 0.1541,                 1.9842,                 2.3673,                 2.1182,               0.009538,               0.009538,               0.009538
                     17,                 1.7759,                 2.2273,                 1.9632,                0.46914,                0.33906,                0.34684,                0.17084,                 1.9708,                 2.4649,                 2.1109,               0.009505,               0.009505,               0.009505
                     18,                 1.7452,                 2.1657,                  1.931,                0.53029,                0.37036,                0.37202,                0.19147,                  1.899,                 2.3058,                 2.0503,               0.009472,               0.009472,               0.009472
