                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1932,                0.00071,                0.10385,                0.00046,                0.00014,                 4.2596,              0.0033198,              0.0033198,              0.0033198
                      2,                 4.1851,                0.00036,                0.05635,                0.00022,                  8e-05,                 4.2309,              0.0066309,              0.0066309,              0.0066309
                      3,                 4.0674,                  7e-05,                0.02251,                  4e-05,                  1e-05,                 4.1108,              0.0099199,              0.0099199,              0.0099199
                      4,                 3.9954,                  6e-05,                0.01893,                  4e-05,                  1e-05,                 4.1154,                 0.0099,                 0.0099,                 0.0099
                      5,                 3.9737,                  7e-05,                0.02353,                  4e-05,                  1e-05,                 4.1019,                 0.0099,                 0.0099,                 0.0099
                      6,                 3.9588,                  7e-05,                0.02353,                  4e-05,                  1e-05,                 4.1111,              0.0098667,              0.0098667,              0.0098667
                      7,                 3.9522,                 0.0001,                0.03325,                  6e-05,                  2e-05,                 4.1274,              0.0098334,              0.0098334,              0.0098334
                      8,                 3.9584,                0.00043,                0.09151,                0.00026,                  8e-05,                  4.124,                 0.0098,                 0.0098,                 0.0098
                      9,                 3.9166,                0.00017,                0.07129,                0.00012,                  3e-05,                 4.0994,              0.0097667,              0.0097667,              0.0097667
                     10,                 3.8699,                0.00019,                0.07436,                0.00012,                  3e-05,                 4.0884,              0.0097334,              0.0097334,              0.0097334
                     11,                 3.8742,                0.00037,                0.07621,                0.00024,                  7e-05,                 4.0892,              0.0097001,              0.0097001,              0.0097001
                     12,                 3.8592,                  6e-05,                0.02148,                  6e-05,                  1e-05,                 4.1023,              0.0096667,              0.0096667,              0.0096667
                     13,                 3.8535,                  6e-05,                0.02148,                  4e-05,                  1e-05,                 4.1054,              0.0096334,              0.0096334,              0.0096334
                     14,                 3.8424,                  6e-05,                0.01995,                  3e-05,                  1e-05,                 4.1316,              0.0096001,              0.0096001,              0.0096001
                     15,                 3.8917,                  7e-05,                0.02148,                  4e-05,                  1e-05,                  4.101,              0.0095668,              0.0095668,              0.0095668
                     16,                 3.8745,                  6e-05,                0.02046,                  3e-05,                  1e-05,                 4.1321,              0.0095334,              0.0095334,              0.0095334
