                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0903,                0.00026,                0.07229,                0.00019,                  6e-05,                 3.9754,               0.066869,             6.6396e-05,             6.6396e-05
                      2,                 4.0399,                0.00026,                0.07301,                0.00017,                  6e-05,                 3.9524,               0.033589,             0.00011976,             0.00011976
                      3,                 4.0553,                0.00023,                 0.0688,                0.00015,                  4e-05,                 3.9632,             0.00029529,             0.00015979,             0.00015979
                      4,                 4.0717,                0.00015,                0.03632,                 0.0001,                  3e-05,                 3.9601,             0.00014001,             0.00014001,             0.00014001
                      5,                 4.0383,                0.00014,                0.03581,                 0.0001,                  3e-05,                 3.9624,             0.00014001,             0.00014001,             0.00014001
                      6,                 4.0396,                0.00015,                0.03581,                 0.0001,                  3e-05,                 3.9601,             0.00012002,             0.00012002,             0.00012002
                      7,                 4.0543,                0.00014,                0.03529,                 0.0001,                  3e-05,                  3.961,             0.00010002,             0.00010002,             0.00010002
