                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4039,                0.81798,                0.49102,                0.55709,                0.31508,                 1.2588,              0.0033198,              0.0033198,              0.0033198
                      2,                 1.1937,                0.74311,                0.69615,                 0.7506,                0.43337,                  1.258,              0.0066312,              0.0066312,              0.0066312
                      3,                  1.234,                0.74154,                0.65802,                0.73766,                0.40924,                 1.3126,              0.0099205,              0.0099205,              0.0099205
                      4,                 1.3087,                0.70722,                0.68214,                0.72605,                0.38088,                 1.3666,               0.009901,               0.009901,               0.009901
                      5,                 1.2989,                0.66996,                0.72427,                0.72542,                0.39738,                 1.3231,               0.009901,               0.009901,               0.009901
                      6,                 1.3022,                0.70903,                 0.6353,                0.70379,                0.37513,                 1.3842,               0.009868,               0.009868,               0.009868
                      7,                 1.3053,                0.65836,                0.66249,                0.69228,                0.37434,                 1.3553,               0.009835,               0.009835,               0.009835
                      8,                 1.3126,                0.68926,                0.71049,                0.72165,                0.38938,                 1.3376,               0.009802,               0.009802,               0.009802
                      9,                 1.3092,                0.72988,                 0.6803,                0.74389,                0.41003,                  1.342,               0.009769,               0.009769,               0.009769
                     10,                 1.3172,                0.72011,                0.71281,                0.73469,                0.39175,                  1.349,               0.009736,               0.009736,               0.009736
                     11,                 1.2914,                0.70496,                 0.6796,                0.73974,                0.41051,                 1.3363,               0.009703,               0.009703,               0.009703
                     12,                  1.299,                0.74457,                0.65577,                0.72578,                0.39256,                 1.3623,                0.00967,                0.00967,                0.00967
                     13,                 1.2986,                 0.7041,                0.67431,                0.71489,                0.38536,                 1.3587,               0.009637,               0.009637,               0.009637
                     14,                 1.2835,                0.74195,                0.63378,                 0.7194,                0.39238,                 1.3479,               0.009604,               0.009604,               0.009604
                     15,                 1.2978,                0.73356,                0.67771,                  0.734,                0.40831,                 1.3233,               0.009571,               0.009571,               0.009571
                     16,                 1.2981,                0.72853,                0.69872,                0.73457,                 0.3918,                 1.3627,               0.009538,               0.009538,               0.009538
                     17,                 1.2822,                 0.6979,                0.68066,                0.70969,                0.39018,                 1.3466,               0.009505,               0.009505,               0.009505
                     18,                 1.3001,                0.64067,                0.71208,                0.71872,                0.39606,                 1.3154,               0.009472,               0.009472,               0.009472
                     19,                   1.29,                0.67056,                0.70441,                0.73178,                0.40679,                 1.3134,               0.009439,               0.009439,               0.009439
                     20,                 1.3014,                0.67174,                0.71271,                0.70916,                0.38204,                 1.3396,               0.009406,               0.009406,               0.009406
                     21,                 1.2953,                0.72861,                0.69466,                0.74308,                 0.4064,                  1.325,               0.009373,               0.009373,               0.009373
                     22,                 1.2914,                 0.7145,                0.67849,                0.73309,                0.39486,                 1.3337,                0.00934,                0.00934,                0.00934
                     23,                 1.2914,                0.71489,                0.67343,                0.72988,                0.40414,                 1.3552,               0.009307,               0.009307,               0.009307
