                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2831,                 0.6977,                0.67375,                0.73178,                0.39079,                 1.3413,               0.009274,               0.009274,               0.009274
                     25,                 1.2728,                0.75097,                0.64399,                 0.7441,                0.41589,                  1.338,               0.009241,               0.009241,               0.009241
                     26,                 1.2936,                0.69801,                0.69379,                 0.7371,                0.40912,                 1.2767,               0.009208,               0.009208,               0.009208
                     27,                 1.2782,                0.71975,                0.67907,                0.73541,                0.41104,                  1.301,               0.009175,               0.009175,               0.009175
                     28,                 1.2699,                0.78048,                0.65232,                0.74307,                0.41827,                 1.3218,               0.009142,               0.009142,               0.009142
                     29,                 1.2906,                0.72941,                0.69567,                 0.7451,                0.39754,                  1.316,               0.009109,               0.009109,               0.009109
                     30,                 1.2777,                0.71075,                0.71145,                 0.7413,                0.41291,                 1.3141,               0.009076,               0.009076,               0.009076
                     31,                 1.2707,                0.75702,                0.71394,                0.76478,                0.41796,                 1.3356,               0.009043,               0.009043,               0.009043
                     32,                 1.2659,                0.76359,                0.65014,                0.74067,                0.40525,                 1.3225,                0.00901,                0.00901,                0.00901
                     33,                  1.272,                0.66294,                0.70891,                0.73907,                0.41018,                  1.323,               0.008977,               0.008977,               0.008977
                     34,                 1.2778,                0.69911,                0.71253,                 0.7381,                0.41314,                 1.3276,               0.008944,               0.008944,               0.008944
                     35,                 1.2766,                0.73284,                0.67026,                 0.7299,                0.40128,                 1.3144,               0.008911,               0.008911,               0.008911
                     36,                 1.2595,                0.72804,                0.68723,                0.75008,                0.41546,                  1.342,               0.008878,               0.008878,               0.008878
                     37,                 1.2559,                0.72459,                0.70202,                0.74762,                0.41955,                 1.3246,               0.008845,               0.008845,               0.008845
                     38,                 1.2674,                0.75621,                0.69865,                0.75375,                0.42927,                 1.3154,               0.008812,               0.008812,               0.008812
                     39,                 1.2683,                0.73404,                0.69961,                0.76525,                0.43115,                 1.3076,               0.008779,               0.008779,               0.008779
                     40,                 1.2633,                0.72576,                0.71206,                0.75788,                 0.4291,                 1.3091,               0.008746,               0.008746,               0.008746
                     41,                 1.2554,                0.71135,                0.72973,                0.75019,                0.41549,                 1.2997,               0.008713,               0.008713,               0.008713
                     42,                 1.2611,                0.71989,                0.68844,                0.74984,                 0.4186,                 1.3196,                0.00868,                0.00868,                0.00868
                     43,                 1.2465,                0.72599,                0.73197,                0.74725,                0.41085,                 1.2942,               0.008647,               0.008647,               0.008647
                     44,                 1.2411,                0.75069,                0.69197,                0.75885,                0.40873,                 1.3262,               0.008614,               0.008614,               0.008614
                     45,                  1.254,                 0.7386,                0.74648,                 0.7626,                 0.4231,                 1.3163,               0.008581,               0.008581,               0.008581
                     46,                 1.2492,                0.78505,                0.67093,                0.76095,                0.42135,                 1.3217,               0.008548,               0.008548,               0.008548
                     47,                 1.2448,                0.73486,                0.69401,                0.74525,                0.40109,                 1.3299,               0.008515,               0.008515,               0.008515
                     48,                 1.2344,                0.71667,                0.70779,                0.73825,                0.41276,                 1.2781,               0.008482,               0.008482,               0.008482
                     49,                 1.2557,                0.70363,                0.73311,                0.74539,                 0.4179,                  1.285,               0.008449,               0.008449,               0.008449
                     50,                 1.2434,                0.78054,                0.70174,                0.77136,                0.43065,                 1.3004,               0.008416,               0.008416,               0.008416
                     51,                 1.2459,                 0.7529,                0.70695,                0.77488,                0.42717,                 1.2949,               0.008383,               0.008383,               0.008383
                     52,                 1.2318,                0.72436,                0.71896,                0.75199,                 0.4153,                 1.3084,                0.00835,                0.00835,                0.00835
