                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1662,                  4.949,                 4.1824,                0.00082,                0.18099,                0.00098,                0.00032,                 4.2577,                 4.3728,                 4.1379,              0.0033198,              0.0033198,              0.0033198
                      2,                 3.8467,                 4.5056,                 3.8626,                0.20196,                 0.0805,                0.00145,                 0.0004,                 3.5657,                 4.0765,                 3.5516,              0.0066312,              0.0066312,              0.0066312
                      3,                 3.2404,                 4.1117,                 3.3497,                0.60614,                0.01381,                0.00721,                0.00206,                 3.4217,                 4.3954,                 3.3683,              0.0099205,              0.0099205,              0.0099205
                      4,                 2.8494,                 3.7887,                  2.936,                 0.6457,                0.06482,                0.02096,                0.00572,                 2.7734,                 3.8866,                 2.7804,               0.009901,               0.009901,               0.009901
                      5,                  2.576,                 3.4617,                 2.6862,                0.27962,                0.11207,                0.05326,                0.01506,                 2.7044,                 3.7115,                 2.7033,               0.009901,               0.009901,               0.009901
                      6,                 2.3466,                 3.1322,                 2.5053,                0.29635,                0.18989,                0.11813,                0.04552,                 2.5098,                 3.3318,                 2.5743,               0.009868,               0.009868,               0.009868
                      7,                 2.1813,                 2.9124,                  2.351,                0.23866,                0.25677,                 0.1737,                0.07039,                 2.1961,                 2.6829,                  2.272,               0.009835,               0.009835,               0.009835
                      8,                  2.074,                 2.7371,                 2.2326,                0.33962,                0.27005,                 0.1903,                0.07349,                 2.2012,                 2.7322,                 2.2982,               0.009802,               0.009802,               0.009802
                      9,                 2.0102,                 2.6366,                 2.1716,                0.33608,                0.35209,                0.25821,                 0.1073,                 2.0384,                 2.4149,                 2.1372,               0.009769,               0.009769,               0.009769
                     10,                 1.9604,                 2.5518,                 2.1253,                0.35351,                0.28743,                0.24829,                0.11771,                 2.0547,                 2.6259,                  2.166,               0.009736,               0.009736,               0.009736
                     11,                 1.9058,                 2.4857,                 2.0714,                0.30686,                0.34184,                0.28255,                0.13372,                  2.015,                 2.4118,                 2.0869,               0.009703,               0.009703,               0.009703
                     12,                 1.8659,                 2.4152,                 2.0395,                 0.3719,                 0.3089,                0.27532,                0.11587,                 2.0279,                 2.5256,                 2.0963,                0.00967,                0.00967,                0.00967
                     13,                 1.8427,                 2.3705,                 2.0127,                0.42026,                0.33856,                0.33629,                0.16419,                  1.916,                   2.26,                 1.9941,               0.009637,               0.009637,               0.009637
                     14,                 1.7902,                 2.2943,                  1.973,                0.39571,                0.40251,                0.36313,                0.18229,                 1.8786,                 2.1593,                 1.9981,               0.009604,               0.009604,               0.009604
                     15,                 1.7938,                  2.263,                 1.9591,                0.46792,                0.41799,                0.39375,                0.19304,                 1.8653,                 2.1533,                 1.9263,               0.009571,               0.009571,               0.009571
                     16,                 1.7684,                 2.2014,                 1.9334,                0.49759,                0.43438,                 0.3761,                0.18407,                 1.8344,                  2.131,                 1.9627,               0.009538,               0.009538,               0.009538
                     17,                 1.7381,                 2.1711,                 1.9207,                 0.5281,                0.39554,                0.41641,                 0.2185,                   1.78,                 2.0604,                 1.9378,               0.009505,               0.009505,               0.009505
                     18,                 1.7384,                 2.1714,                 1.9184,                0.41394,                0.44755,                0.37472,                 0.1916,                 1.7628,                 2.0948,                 1.9067,               0.009472,               0.009472,               0.009472
                     19,                 1.7109,                  2.123,                 1.8955,                0.54868,                 0.4076,                 0.4156,                0.21063,                 1.7994,                 2.1554,                 1.9515,               0.009439,               0.009439,               0.009439
                     20,                 1.7089,                 2.1126,                 1.8868,                0.57826,                0.45067,                 0.4963,                0.24858,                  1.728,                 1.9108,                 1.8928,               0.009406,               0.009406,               0.009406
                     21,                 1.6961,                 2.0918,                 1.8735,                0.57603,                0.46878,                0.47895,                0.27022,                  1.692,                 1.9307,                 1.8742,               0.009373,               0.009373,               0.009373
                     22,                 1.6705,                 2.0487,                 1.8506,                0.53598,                0.45143,                 0.4877,                0.26317,                 1.6738,                 1.9245,                  1.828,                0.00934,                0.00934,                0.00934
                     23,                 1.6498,                 2.0049,                 1.8372,                0.56577,                0.46946,                0.48958,                0.24745,                 1.6865,                 1.9051,                 1.8475,               0.009307,               0.009307,               0.009307
                     24,                 1.6375,                 1.9666,                 1.8241,                0.57222,                0.44085,                0.48736,                0.25399,                  1.688,                 1.8359,                 1.8571,               0.009274,               0.009274,               0.009274
                     25,                 1.6311,                 1.9583,                 1.8135,                0.57227,                 0.4884,                0.53444,                0.29212,                 1.6294,                 1.7624,                 1.8172,               0.009241,               0.009241,               0.009241
                     26,                 1.6266,                 1.9529,                  1.796,                 0.5696,                0.53854,                0.52474,                0.28923,                 1.5741,                 1.7452,                 1.7739,               0.009208,               0.009208,               0.009208
                     27,                 1.5978,                 1.9133,                 1.7852,                0.65784,                0.51556,                 0.5772,                0.31446,                 1.5954,                  1.707,                 1.7706,               0.009175,               0.009175,               0.009175
                     28,                 1.5868,                 1.9054,                 1.7839,                0.59362,                0.51748,                0.56284,                 0.3034,                 1.5961,                 1.7358,                 1.7643,               0.009142,               0.009142,               0.009142
                     29,                 1.6043,                   1.88,                 1.7806,                0.62304,                 0.5428,                0.57044,                0.31626,                 1.5826,                 1.7407,                 1.7633,               0.009109,               0.009109,               0.009109
                     30,                 1.5715,                 1.8765,                  1.759,                0.61933,                0.51193,                0.56706,                0.32831,                 1.5539,                  1.639,                 1.7483,               0.009076,               0.009076,               0.009076
                     31,                 1.5623,                 1.8512,                 1.7489,                0.60109,                0.54597,                 0.6018,                 0.3454,                 1.5485,                 1.6459,                 1.7298,               0.009043,               0.009043,               0.009043
                     32,                 1.5531,                 1.8306,                 1.7418,                0.65585,                0.50523,                0.56902,                 0.3326,                 1.5442,                 1.6844,                 1.7517,                0.00901,                0.00901,                0.00901
                     33,                 1.5574,                 1.8392,                 1.7511,                0.70239,                0.53828,                0.63442,                0.36313,                 1.5397,                  1.573,                 1.7213,               0.008977,               0.008977,               0.008977
                     34,                 1.5569,                 1.8183,                 1.7453,                0.61329,                0.53383,                 0.5887,                0.33994,                 1.5591,                 1.6458,                 1.7562,               0.008944,               0.008944,               0.008944
                     35,                 1.5458,                 1.7981,                 1.7226,                0.62476,                0.61928,                0.63808,                0.36847,                 1.4992,                 1.5538,                 1.7022,               0.008911,               0.008911,               0.008911
                     36,                  1.537,                 1.7821,                 1.7279,                0.68998,                0.59124,                0.63128,                0.37971,                 1.5061,                 1.5685,                 1.6722,               0.008878,               0.008878,               0.008878
                     37,                  1.514,                 1.7501,                 1.7005,                0.64335,                0.52391,                0.57562,                0.33457,                 1.5388,                 1.7148,                 1.7332,               0.008845,               0.008845,               0.008845
                     38,                 1.5179,                 1.7593,                 1.6997,                0.64755,                0.56211,                 0.6195,                0.35934,                 1.4938,                 1.5978,                 1.6847,               0.008812,               0.008812,               0.008812
                     39,                  1.509,                 1.7405,                 1.7039,                0.70504,                 0.5606,                0.64578,                0.39179,                  1.476,                 1.4818,                 1.6645,               0.008779,               0.008779,               0.008779
                     40,                 1.5057,                 1.7295,                 1.6947,                0.71813,                 0.6115,                0.65758,                0.39187,                 1.4796,                  1.499,                 1.6604,               0.008746,               0.008746,               0.008746
                     41,                 1.4924,                 1.7057,                  1.686,                0.74208,                0.58413,                0.65897,                0.38731,                 1.4788,                 1.5224,                 1.6715,               0.008713,               0.008713,               0.008713
                     42,                 1.4983,                 1.6967,                 1.6802,                0.63372,                0.61463,                0.61743,                0.34481,                 1.5286,                 1.6101,                 1.6814,                0.00868,                0.00868,                0.00868
                     43,                 1.4883,                 1.6863,                 1.6751,                0.65577,                 0.5514,                 0.6098,                0.36048,                 1.4802,                 1.6417,                 1.6874,               0.008647,               0.008647,               0.008647
                     44,                 1.4752,                  1.689,                 1.6695,                0.73496,                0.58832,                0.68452,                0.41145,                  1.455,                 1.4514,                  1.655,               0.008614,               0.008614,               0.008614
                     45,                   1.48,                 1.6659,                 1.6719,                0.73802,                0.56735,                0.65083,                0.38386,                 1.5096,                 1.5423,                 1.6686,               0.008581,               0.008581,               0.008581
                     46,                 1.4822,                 1.6587,                 1.6661,                0.75195,                0.58604,                 0.6854,                0.40876,                  1.432,                 1.4233,                 1.6138,               0.008548,               0.008548,               0.008548
                     47,                 1.4741,                 1.6616,                 1.6545,                0.67829,                0.63027,                0.68021,                 0.3997,                 1.4521,                 1.4686,                  1.632,               0.008515,               0.008515,               0.008515
                     48,                 1.4516,                 1.6172,                 1.6429,                0.72092,                0.63679,                0.70438,                0.42592,                 1.4333,                 1.4088,                 1.6139,               0.008482,               0.008482,               0.008482
                     49,                 1.4636,                 1.6382,                 1.6486,                0.68277,                0.62946,                 0.6855,                0.41771,                 1.4567,                 1.4464,                 1.6421,               0.008449,               0.008449,               0.008449
                     50,                 1.4542,                 1.6114,                 1.6386,                0.72816,                0.64885,                0.69597,                0.43751,                 1.4039,                  1.396,                 1.5922,               0.008416,               0.008416,               0.008416
                     51,                 1.4485,                 1.6321,                 1.6335,                0.75751,                 0.6159,                0.69442,                0.42213,                 1.4129,                 1.3933,                 1.5926,               0.008383,               0.008383,               0.008383
                     52,                 1.4296,                 1.5825,                 1.6239,                0.70147,                0.62395,                0.68595,                0.41759,                 1.4124,                 1.4064,                 1.6128,                0.00835,                0.00835,                0.00835
                     53,                  1.447,                 1.6228,                 1.6287,                0.64332,                0.63128,                 0.6767,                0.41676,                   1.38,                 1.3869,                 1.5635,               0.008317,               0.008317,               0.008317
                     54,                 1.4319,                 1.5961,                 1.6182,                0.74299,                0.64108,                0.70603,                0.43081,                 1.3709,                 1.3986,                  1.579,               0.008284,               0.008284,               0.008284
                     55,                 1.4229,                 1.5606,                 1.6102,                0.75659,                0.63015,                 0.7076,                0.43902,                 1.3579,                 1.3338,                 1.5634,               0.008251,               0.008251,               0.008251
                     56,                 1.4155,                 1.5643,                 1.6117,                0.75048,                 0.6085,                0.69591,                0.43744,                 1.3835,                 1.3373,                 1.5778,               0.008218,               0.008218,               0.008218
                     57,                 1.4283,                 1.5774,                 1.6138,                0.80998,                0.61864,                0.72213,                0.44908,                 1.3494,                 1.3222,                 1.5397,               0.008185,               0.008185,               0.008185
                     58,                 1.4286,                 1.5648,                 1.6143,                0.74209,                0.63033,                0.68667,                 0.4192,                 1.3862,                  1.407,                 1.5751,               0.008152,               0.008152,               0.008152
                     59,                 1.4275,                 1.5761,                 1.6147,                0.67484,                0.67054,                 0.6988,                0.42564,                 1.4091,                 1.3807,                 1.5724,               0.008119,               0.008119,               0.008119
                     60,                 1.4185,                 1.5293,                 1.5957,                0.68535,                0.65061,                0.70384,                 0.4255,                 1.3687,                   1.39,                 1.5598,               0.008086,               0.008086,               0.008086
