                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1438,                 4.9537,                 4.1827,                0.00094,                0.17286,                0.00098,                0.00033,                 4.1898,                 4.5476,                 4.3544,              0.0033181,              0.0033181,              0.0033181
                      2,                 3.9225,                 4.5835,                  3.951,                0.60029,                0.00098,                  9e-05,                  3e-05,                 4.0187,                 13.043,                 5.9322,              0.0066295,              0.0066295,              0.0066295
                      3,                 3.3037,                 4.1333,                 3.3962,                0.41551,                0.04424,                0.00932,                0.00196,                 3.1416,                 5.0386,                 3.1776,              0.0099189,              0.0099189,              0.0099189
                      4,                 2.9341,                 3.8482,                 3.0206,                0.62458,                0.04455,                0.00993,                0.00269,                 3.0899,                 4.0004,                   3.04,               0.009901,               0.009901,               0.009901
                      5,                 2.7075,                 3.6236,                 2.7978,                 0.6369,                0.06176,                0.02695,                0.00749,                 2.7004,                 3.6532,                 2.6508,               0.009901,               0.009901,               0.009901
                      6,                 2.5275,                 3.4261,                  2.647,                0.32107,                0.09088,                0.03667,                0.01174,                 2.7108,                 3.5302,                 2.6922,               0.009868,               0.009868,               0.009868
                      7,                 2.3309,                 3.1275,                  2.499,                0.31886,                0.11111,                0.06279,                 0.0228,                 2.6888,                 3.6933,                 2.7452,               0.009835,               0.009835,               0.009835
                      8,                 2.1972,                  2.934,                 2.3758,                0.27032,                0.22578,                0.10554,                0.04423,                 2.2869,                 2.9834,                 2.3958,               0.009802,               0.009802,               0.009802
                      9,                 2.0906,                 2.7706,                 2.2692,                  0.335,                0.22634,                0.17199,                 0.0706,                 2.1374,                 2.5556,                   2.23,               0.009769,               0.009769,               0.009769
                     10,                 2.0011,                 2.6548,                 2.1803,                0.30074,                0.22825,                 0.1718,                 0.0691,                 2.1338,                 2.5898,                 2.2612,               0.009736,               0.009736,               0.009736
                     11,                 1.9712,                 2.5694,                 2.1408,                0.29664,                0.30672,                0.21795,                0.09494,                 2.0373,                 2.5391,                 2.1212,               0.009703,               0.009703,               0.009703
                     12,                 1.9192,                 2.5056,                 2.1001,                0.35459,                0.25672,                0.21917,                0.09592,                 2.0685,                  2.629,                 2.1502,                0.00967,                0.00967,                0.00967
                     13,                  1.895,                 2.4388,                 2.0674,                0.33285,                0.37347,                0.26416,                0.11148,                 2.0024,                 2.3359,                 2.0923,               0.009637,               0.009637,               0.009637
                     14,                 1.8385,                 2.3935,                  2.033,                0.39065,                0.34549,                0.27631,                0.13797,                  1.863,                 2.2387,                 2.0209,               0.009604,               0.009604,               0.009604
                     15,                 1.8455,                 2.3629,                 2.0196,                0.38764,                0.32529,                0.30501,                0.15222,                 1.8942,                 2.2824,                 2.0397,               0.009571,               0.009571,               0.009571
                     16,                 1.7897,                 2.3051,                 1.9908,                0.35781,                 0.3633,                0.32469,                0.15755,                 1.8739,                  2.208,                  2.018,               0.009538,               0.009538,               0.009538
