                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1391,                 4.9559,                 4.1843,                0.00074,                 0.1691,                0.00092,                0.00029,                 4.2703,                 4.5791,                 4.1444,              0.0033181,              0.0033181,              0.0033181
                      2,                 3.9378,                 4.6131,                  3.973,                0.00093,                 0.1714,                 0.0013,                0.00039,                 3.9526,                 3.9621,                 3.8111,              0.0066295,              0.0066295,              0.0066295
                      3,                 3.2723,                 4.1418,                 3.3945,                0.63844,                0.02205,                0.00908,                0.00231,                 3.3079,                 3.9221,                 3.2951,              0.0099189,              0.0099189,              0.0099189
                      4,                 2.9469,                 3.8956,                 3.0193,                 0.0034,                 0.0372,                0.00382,                0.00095,                 3.6293,                 5.1177,                  3.697,               0.009901,               0.009901,               0.009901
                      5,                 2.7081,                 3.6732,                   2.81,                0.62205,                0.03522,                0.01751,                0.00577,                 2.9529,                 3.9564,                 2.8964,               0.009901,               0.009901,               0.009901
                      6,                 2.5146,                 3.4089,                 2.6404,                0.29488,                0.06394,                0.04173,                0.01008,                 2.6883,                 3.5181,                 2.7073,               0.009868,               0.009868,               0.009868
                      7,                 2.3162,                 3.1153,                 2.4892,                0.30456,                0.11143,                0.05818,                0.02048,                 2.6929,                 3.4762,                 2.6983,               0.009835,               0.009835,               0.009835
                      8,                 2.1899,                 2.9168,                 2.3641,                0.37226,                0.13407,                0.08871,                0.03267,                 2.4047,                 3.1787,                 2.4854,               0.009802,               0.009802,               0.009802
                      9,                 2.0869,                 2.7669,                 2.2866,                0.21094,                0.25923,                0.13604,                0.05289,                 2.2428,                 2.8983,                 2.3305,               0.009769,               0.009769,               0.009769
                     10,                 2.0155,                 2.6723,                 2.2054,                0.24352,                0.20556,                0.11776,                0.04328,                 2.1582,                 2.7485,                 2.3018,               0.009736,               0.009736,               0.009736
                     11,                 1.9582,                  2.563,                 2.1544,                0.32032,                0.30945,                0.24843,                0.10845,                 2.0129,                 2.5554,                 2.1883,               0.009703,               0.009703,               0.009703
                     12,                 1.9067,                 2.5188,                 2.1212,                0.34458,                0.32475,                0.26729,                0.12123,                 2.0147,                 2.3205,                 2.1305,                0.00967,                0.00967,                0.00967
                     13,                 1.8819,                 2.4443,                 2.0775,                0.34073,                0.34215,                0.29263,                0.12839,                 1.9534,                 2.2862,                 2.0934,               0.009637,               0.009637,               0.009637
                     14,                 1.8448,                 2.3798,                 2.0496,                0.41353,                0.30546,                0.26346,                0.12085,                 1.9632,                 2.4487,                 2.0995,               0.009604,               0.009604,               0.009604
                     15,                 1.8213,                 2.3417,                 2.0244,                0.38573,                0.30422,                0.27808,                0.13401,                 1.9814,                 2.3691,                 2.1225,               0.009571,               0.009571,               0.009571
                     16,                 1.7992,                 2.3082,                 2.0079,                0.39552,                0.33073,                0.29412,                0.13621,                  1.968,                 2.2862,                 2.1179,               0.009538,               0.009538,               0.009538
                     17,                 1.7801,                 2.2505,                 1.9847,                0.40879,                 0.4006,                 0.3303,                0.15933,                 1.9509,                 2.5326,                 2.0656,               0.009505,               0.009505,               0.009505
                     18,                  1.748,                 2.2053,                 1.9551,                0.46436,                0.37198,                0.34468,                0.16951,                 1.8716,                 2.2234,                 2.0139,               0.009472,               0.009472,               0.009472
