                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0892,                0.00013,                0.03171,                  9e-05,                  3e-05,                  3.978,               0.066869,             6.6396e-05,             6.6396e-05
                      2,                 4.0393,                0.00026,                 0.0725,                0.00019,                  7e-05,                  3.955,               0.033589,             0.00011976,             0.00011976
                      3,                 4.0543,                0.00022,                0.06553,                0.00014,                  5e-05,                 3.9588,             0.00029529,             0.00015979,             0.00015979
                      4,                 4.0718,                0.00015,                0.03581,                 0.0001,                  3e-05,                 3.9565,             0.00014001,             0.00014001,             0.00014001
