                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1543,                 4.9466,                 4.1844,                0.00098,                0.18315,                0.00129,                0.00041,                 4.0336,                 4.7734,                 4.6604,              0.0033181,              0.0033181,              0.0033181
                      2,                 3.9384,                 4.5677,                 3.9421,                0.00077,                0.03193,                 0.0004,                 0.0001,                 3.9539,                 4.9772,                 5.0324,              0.0066295,              0.0066295,              0.0066295
                      3,                 3.3266,                 4.1185,                 3.4167,                0.40417,                0.00834,                0.00415,                0.00128,                  3.351,                 4.4605,                  3.321,              0.0099189,              0.0099189,              0.0099189
                      4,                 2.9215,                 3.8308,                  3.029,                0.46638,                0.05522,                0.02058,                0.00587,                 2.9364,                 3.6698,                 2.9377,               0.009901,               0.009901,               0.009901
                      5,                  2.711,                  3.623,                 2.7965,                0.63021,                0.07689,                0.04048,                0.01089,                 2.7201,                 3.3737,                 2.7141,               0.009901,               0.009901,               0.009901
                      6,                  2.478,                 3.2919,                 2.6032,                0.32988,                0.11536,                0.05735,                0.02069,                 2.5098,                 3.3494,                 2.5951,               0.009868,               0.009868,               0.009868
                      7,                 2.3134,                  3.043,                 2.4772,                0.39106,                0.13824,                0.08281,                0.02836,                 2.3686,                 3.0783,                 2.5092,               0.009835,               0.009835,               0.009835
                      8,                 2.1808,                 2.8633,                 2.3453,                0.26156,                0.21084,                0.15566,                0.06985,                 2.2066,                  2.791,                 2.3264,               0.009802,               0.009802,               0.009802
                      9,                 2.0674,                 2.7309,                 2.2571,                0.34499,                0.20552,                0.14964,                0.05943,                 2.1921,                 2.7732,                 2.3642,               0.009769,               0.009769,               0.009769
                     10,                 1.9817,                 2.6301,                 2.1741,                0.40143,                0.30511,                 0.2434,                0.11038,                 2.0705,                 2.5179,                 2.1929,               0.009736,               0.009736,               0.009736
                     11,                 1.9401,                 2.5499,                 2.1079,                 0.2908,                0.16088,                0.12245,                0.04742,                 2.3534,                 3.4242,                 2.4734,               0.009703,               0.009703,               0.009703
                     12,                 1.8998,                 2.4782,                 2.0808,                0.39272,                0.29126,                0.28415,                  0.128,                 1.9996,                 2.3732,                 2.1198,                0.00967,                0.00967,                0.00967
                     13,                 1.8682,                 2.3887,                 2.0417,                0.37019,                0.35387,                0.30873,                0.14573,                 1.9264,                 2.2685,                 2.0547,               0.009637,               0.009637,               0.009637
                     14,                 1.8323,                 2.3652,                 2.0112,                0.50222,                0.32983,                0.34437,                0.15726,                 1.9228,                 2.2357,                 2.0665,               0.009604,               0.009604,               0.009604
                     15,                 1.8287,                 2.3205,                 1.9969,                0.37943,                0.38173,                0.31234,                0.15133,                 1.8754,                 2.5239,                 2.0145,               0.009571,               0.009571,               0.009571
                     16,                 1.7955,                 2.2733,                 1.9739,                0.44905,                0.37717,                0.33917,                0.16322,                 1.9082,                 2.2928,                 2.0482,               0.009538,               0.009538,               0.009538
                     17,                 1.7706,                 2.2207,                  1.947,                0.42724,                0.34063,                0.31646,                0.15429,                 1.9388,                 2.2848,                 2.0486,               0.009505,               0.009505,               0.009505
                     18,                 1.7473,                 2.1976,                 1.9245,                0.44449,                  0.393,                0.37606,                 0.1861,                 1.8672,                 2.2557,                 1.9943,               0.009472,               0.009472,               0.009472
                     19,                 1.7285,                 2.1602,                 1.9204,                0.48759,                0.40045,                0.40505,                0.20716,                 1.8037,                  2.049,                 1.9913,               0.009439,               0.009439,               0.009439
                     20,                 1.7226,                 2.1413,                 1.9089,                 0.5311,                0.36915,                0.39831,                0.20975,                 1.8012,                 2.1395,                 1.9676,               0.009406,               0.009406,               0.009406
                     21,                 1.6904,                 2.0937,                 1.8835,                 0.5243,                 0.4392,                0.44838,                0.23814,                   1.73,                 1.9305,                 1.9083,               0.009373,               0.009373,               0.009373
                     22,                 1.6918,                  2.071,                 1.8804,                 0.4689,                0.33338,                0.33347,                 0.1765,                 1.8888,                 2.4596,                 2.0463,                0.00934,                0.00934,                0.00934
                     23,                 1.6799,                  2.052,                 1.8577,                0.60004,                0.44212,                0.45941,                0.23849,                 1.6983,                 1.8924,                 1.8791,               0.009307,               0.009307,               0.009307
                     24,                 1.6661,                 2.0331,                 1.8574,                0.50729,                0.42334,                0.42237,                0.22144,                 1.8433,                 2.0935,                 1.9792,               0.009274,               0.009274,               0.009274
                     25,                 1.6536,                 2.0022,                 1.8342,                0.57245,                0.46283,                0.49962,                0.26645,                 1.6747,                  1.824,                 1.8561,               0.009241,               0.009241,               0.009241
                     26,                 1.6378,                 1.9966,                 1.8191,                0.56243,                 0.4898,                0.50765,                0.28525,                 1.6565,                 1.8368,                 1.8346,               0.009208,               0.009208,               0.009208
                     27,                 1.6294,                 1.9743,                 1.8117,                0.65192,                0.45499,                0.52199,                0.28131,                 1.6797,                 1.8055,                 1.8428,               0.009175,               0.009175,               0.009175
                     28,                 1.6211,                  1.946,                 1.8085,                 0.5972,                0.45657,                0.48079,                0.25875,                 1.6713,                 1.9115,                 1.8285,               0.009142,               0.009142,               0.009142
                     29,                 1.6056,                 1.9328,                 1.7904,                 0.6077,                0.46841,                0.52135,                0.28901,                  1.639,                 1.7563,                 1.7929,               0.009109,               0.009109,               0.009109
                     30,                 1.5979,                 1.8904,                 1.7761,                0.60652,                0.47196,                0.51604,                0.28341,                 1.6689,                  1.811,                 1.8184,               0.009076,               0.009076,               0.009076
                     31,                 1.5772,                 1.8884,                 1.7684,                0.59808,                0.50005,                 0.5379,                0.30069,                  1.615,                 1.7724,                  1.799,               0.009043,               0.009043,               0.009043
                     32,                 1.5692,                 1.8755,                  1.756,                0.64042,                0.49142,                0.51803,                0.27739,                 1.6295,                 1.8033,                 1.8072,                0.00901,                0.00901,                0.00901
                     33,                 1.5693,                 1.8624,                 1.7537,                0.64607,                0.47565,                0.55562,                0.31671,                 1.5603,                 1.7119,                 1.7678,               0.008977,               0.008977,               0.008977
                     34,                 1.5526,                 1.8358,                 1.7429,                0.64812,                0.52084,                0.56248,                0.32105,                 1.6069,                 1.6888,                   1.78,               0.008944,               0.008944,               0.008944
                     35,                 1.5515,                 1.8274,                 1.7367,                0.65223,                0.49798,                0.55706,                0.30962,                 1.5885,                 1.6956,                 1.7808,               0.008911,               0.008911,               0.008911
                     36,                 1.5391,                 1.8151,                 1.7284,                0.66534,                0.54566,                0.58857,                0.33669,                 1.5651,                 1.6283,                 1.7523,               0.008878,               0.008878,               0.008878
                     37,                 1.5473,                 1.8134,                   1.73,                0.64862,                0.52587,                 0.5666,                 0.3239,                 1.5573,                 1.6474,                 1.7448,               0.008845,               0.008845,               0.008845
                     38,                 1.5392,                 1.7909,                 1.7208,                0.66221,                0.53186,                0.58704,                0.33304,                 1.5553,                  1.637,                 1.7439,               0.008812,               0.008812,               0.008812
                     39,                 1.5159,                 1.7653,                  1.715,                0.63972,                0.54827,                0.60675,                0.35674,                  1.524,                  1.604,                 1.7246,               0.008779,               0.008779,               0.008779
                     40,                 1.5143,                 1.7641,                 1.7125,                0.68328,                0.52772,                0.59412,                0.34235,                 1.5266,                 1.5951,                 1.7198,               0.008746,               0.008746,               0.008746
                     41,                 1.5218,                 1.7523,                 1.7056,                0.67963,                 0.5561,                0.61934,                0.36036,                 1.5186,                 1.5632,                 1.7082,               0.008713,               0.008713,               0.008713
                     42,                 1.4946,                 1.7398,                 1.6959,                0.71299,                0.54649,                0.62477,                0.35396,                 1.5388,                 1.5795,                  1.704,                0.00868,                0.00868,                0.00868
