                  epoch,             train/Loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),               val/Loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2411,                0.51659,                0.15834,                0.18596,                 0.0901,                 1.1528,               0.066869,             6.6396e-05,             6.6396e-05
                      2,                  1.044,                0.53076,                0.32553,                0.35038,                0.17747,                 1.1691,               0.033589,             0.00011976,             0.00011976
                      3,                 1.0636,                0.71736,                0.44479,                0.46208,                0.25247,                 1.1931,             0.00029529,             0.00015979,             0.00015979
                      4,                 1.0573,                0.79136,                0.45721,                0.51658,                0.29193,                 1.1963,             0.00014001,             0.00014001,             0.00014001
                      5,                 1.0365,                0.81772,                0.50417,                0.56167,                0.31898,                 1.1926,             0.00014001,             0.00014001,             0.00014001
                      6,                 1.0385,                0.84336,                0.50663,                0.58551,                0.33731,                 1.1909,             0.00012002,             0.00012002,             0.00012002
                      7,                 1.0171,                0.78052,                0.56064,                0.59982,                0.34567,                  1.192,             0.00010002,             0.00010002,             0.00010002
                      8,                 1.0165,                 0.8217,                0.54305,                0.60569,                0.35425,                 1.1906,             8.0024e-05,             8.0024e-05,             8.0024e-05
                      9,                 1.0067,                0.81604,                0.55299,                0.60883,                0.35759,                 1.1959,             6.0028e-05,             6.0028e-05,             6.0028e-05
                     10,                 1.0156,                0.84154,                0.53947,                0.61367,                0.35904,                 1.1953,             4.0032e-05,             4.0032e-05,             4.0032e-05
