                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0196,                 4.7326,                 4.0223,                0.00112,                0.13524,                0.00105,                0.00034,                 3.9948,                 4.0222,                 3.7974,             0.00036883,             0.00036883,             0.00036883
                      2,                 3.3651,                 4.1888,                  3.372,                0.80608,                0.02043,                0.00451,                0.00118,                 3.1723,                 4.0909,                 3.0793,             0.00069038,             0.00069038,             0.00069038
                      3,                  2.945,                 3.8577,                 2.9927,                0.63027,                0.04865,                0.01589,                0.00433,                 2.8464,                 3.6188,                  2.808,             0.00096304,             0.00096304,             0.00096304
                      4,                 2.6129,                 3.4994,                 2.6995,                0.24891,                 0.1234,                 0.0401,                0.01216,                  2.763,                  3.562,                 2.7458,             0.00089102,             0.00089102,             0.00089102
                      5,                 2.4269,                 3.2238,                 2.5295,                0.34778,                0.15036,                0.10516,                0.03486,                 2.4719,                 3.0502,                 2.5024,             0.00089102,             0.00089102,             0.00089102
                      6,                  2.349,                 2.9915,                  2.399,                0.22295,                 0.2569,                 0.1399,                0.05079,                 2.3055,                 2.8154,                 2.3738,              0.0008177,              0.0008177,              0.0008177
                      7,                 2.2444,                 2.7916,                 2.3214,                 0.2699,                0.22861,                0.16992,                0.06922,                 2.2336,                 2.7296,                 2.3253,             0.00074437,             0.00074437,             0.00074437
                      8,                  2.156,                  2.663,                 2.2586,                0.34429,                0.26509,                0.23049,                0.09304,                 2.1265,                  2.568,                 2.1959,             0.00067104,             0.00067104,             0.00067104
                      9,                 2.0701,                  2.535,                 2.1897,                0.38728,                0.32098,                0.27511,                0.12824,                 2.0462,                 2.4475,                 2.1576,             0.00059772,             0.00059772,             0.00059772
                     10,                 2.0326,                 2.4189,                 2.1627,                 0.4025,                0.35131,                0.31742,                0.15384,                 1.9729,                 2.2249,                 2.1066,             0.00052439,             0.00052439,             0.00052439
                     11,                 1.9566,                 2.3308,                 2.1203,                0.48833,                0.38801,                0.37149,                0.18832,                 1.8885,                 2.1946,                 2.0648,             0.00045107,             0.00045107,             0.00045107
                     12,                 1.9091,                 2.2511,                 2.0855,                0.50578,                0.40594,                 0.4173,                0.21787,                 1.8225,                  2.092,                 2.0217,             0.00037774,             0.00037774,             0.00037774
                     13,                  1.848,                 2.1643,                 2.0409,                 0.5101,                0.43174,                0.46016,                0.23462,                 1.8058,                 2.0175,                 2.0026,             0.00030441,             0.00030441,             0.00030441
                     14,                 1.8106,                 2.0734,                 2.0055,                0.55699,                0.42166,                0.46086,                0.24546,                 1.7755,                 1.9833,                 1.9558,             0.00023109,             0.00023109,             0.00023109
